car_description,car_name,km_traveled,value,year
1.4 Mpfi Ltz 8v Automático,Chevrolet Onix,84.990,R$ 69.870,2018
1.4 Turbo Premier Automático,Chevrolet Cruze,57.168,R$ 122.970,2020
1.4 16v Turbo Premier Automático,Chevrolet Tracker,34.279,R$ 98.870,2018
1.0 12v Mpi Totalflex Trendline Manual,Volkswagen Gol,91.388,R$ 45.380,2018
1.0 Evo Like. Manual,Fiat Mobi,81.339,R$ 44.480,2019
1.0 12v Sce Life Manual,Renault Logan,89.462,R$ 50.580,2020
2.0 16v Longitude Automático,Jeep Compass,55.989,R$ 128.270,2020
1.6 Mi Comfortline 8v Automatizado,Volkswagen Gol,68.283,R$ 47.870,2015
1.0 12v Sce Zen Manual,Renault Kwid,43.922,R$ 49.470,2020
1.6 16v Allure Automático,Peugeot 2008,51.160,R$ 61.970,2016
1.6 16v Action Automático,Hyundai Creta,2.907,R$ 109.570,2022
1.8 16v Longitude Automático,Jeep Renegade,48.062,R$ 85.770,2017
1.8 Lxs 16v Manual,Honda Civic,97.984,R$ 69.870,2015
1.6 16v Flexstart Exclusive Xtronic,Nissan Kicks,5.155,R$ 132.970,2022
1.0 Fire Attractive Manual,Fiat Uno,101.393,R$ 45.980,2020
1.0 12v Sce Authentique Manual,Renault Sandero,102.781,R$ 41.880,2019
1.0 200 Tsi Total Comfortline Automático,Volkswagen Nivus,46.211,R$ 112.270,2021
1.0 Evo Like. Manual,Fiat Mobi,108.508,R$ 42.880,2019
1.5 Exl 16v Automático,Honda Fit,46.515,R$ 88.870,2018
2.5 Limited 4x2 Cd 16v Manual,Ford Ranger,39.807,R$ 139.270,2017
3.0 Gt 4x4 V6 24v Automático,Mitsubishi Outlander,85.597,R$ 123.970,2016
1.4 Tfsi Ambiente S Tronic,Audi Q3,70.294,R$ 116.770,2016
1.6 Msi Total Automático,Volkswagen Polo,57.091,R$ 73.970,2020
2.0 16v Longitude Automático,Jeep Compass,42.872,R$ 126.870,2019
1.0 Turbo Plus Premier Automático,Chevrolet Onix,10.427,R$ 97.970,2021
1.4 Tsi Highline 16v Total Tiptronic,Volkswagen Golf,57.002,R$ 100.970,2016
1.0 Evo Like. Manual,Fiat Mobi,50.371,R$ 49.470,2020
1.5 Ex 16v Automático,Honda City,56.294,R$ 80.970,2017
1.6 Msi Total Automático,Volkswagen Virtus,7.109,R$ 100.970,2022
1.6 16v Style Automático,Hyundai Hb20x,78.633,R$ 74.870,2018
1.8 Mpi 16v Automatico,Hyundai I30,62.059,R$ 68.270,2014
1.0 12v Sce Zen Manual,Renault Kwid,26.981,R$ 52.770,2021
1.8 16v Sport Automático,Jeep Renegade,20.377,R$ 93.370,2019
1.6 16v Exclusive Xtronic,Nissan Versa,11.985,R$ 109.970,2021
1.0 200 Tsi Highline Automático,Volkswagen Virtus,56.820,R$ 89.970,2018
1.4 Cabrio 8v Automatizado,Fiat 500,82.223,R$ 71.970,2014
1.0 S 12v Manual,Nissan March,71.346,R$ 42.870,2016
1.0 12v Vision Manual,Hyundai Hb20s,55.339,R$ 67.470,2020
1.0 12v Sce Zen Manual,Renault Kwid,23.734,R$ 52.470,2021
2.0 16v Turbo Activeflex Sdrive20i Automático,Bmw X1,28.312,R$ 197.470,2019
1.0 12v Sce Life Manual,Renault Sandero,35.138,R$ 56.770,2021
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,101.461,R$ 46.380,2019
1.8 Gli Upper 16v Automático,Toyota Corolla,40.500,R$ 101.970,2019
1.0 Turbo Lt Manual,Chevrolet Onix,13.134,R$ 79.970,2021
3.0 V6 Tdi Highline Cd Diesel 4motion Automático,Volkswagen Amarok,81.779,R$ 209.980,2018
2.0 Hl 16v Automático,Mitsubishi Lancer,45.855,R$ 79.970,2019
1.5 16v Sedan Xl Multidrive,Toyota Yaris,19.297,R$ 87.470,2020
1.5 Ti-vct Se Plus Automático,Ford Ka,21.016,R$ 69.770,2020
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,77.352,R$ 92.870,2017
1.6 16v Allure Pack Automático,Peugeot 2008,44.513,R$ 81.770,2020
1.6 Comfort Plus 16v Manual,Hyundai Hb20,59.118,R$ 66.970,2019
1.5 16v Sedan Xl Multidrive,Toyota Yaris,26.749,R$ 83.970,2019
1.6 Vti 120 Feel Manual,Citroen C4 cactus,19.300,R$ 84.870,2020
1.4 250 Tsi Total Allspace Comfortline Tiptronic,Volkswagen Tiguan,58.394,R$ 144.880,2019
1.4 250 Tsi Total Allspace Comfortline Tiptronic,Volkswagen Tiguan,42.221,R$ 159.870,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,58.102,R$ 57.970,2019
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,85.180,R$ 109.870,2018
2.0 Sel 16v Automático,Ford Fusion,88.928,R$ 102.570,2018
1.0 Ti-vct Se Manual,Ford Ka,44.325,R$ 55.870,2020
1.0 12v Vision Manual,Hyundai Hb20s,68.367,R$ 67.470,2020
1.0 Evo Like. Manual,Fiat Mobi,66.807,R$ 46.870,2019
1.0 12v Sce Life Manual,Renault Sandero,61.137,R$ 52.370,2020
1.0 12v Sce Zen Manual,Renault Kwid,40.011,R$ 49.470,2020
1.4 Mpfi Lt 8v Automático,Chevrolet Onix,45.063,R$ 72.670,2019
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,45.435,R$ 159.970,2018
1.5 Ti-vct Freestyle Automático,Ford Ecosport,24.269,R$ 89.970,2020
1.8 16v Exl Automático,Honda Hr-v,33.086,R$ 131.870,2020
2.0 Ex 4x2 16v Automático,Kia Sportage,84.163,R$ 128.580,2018
2.0 16v Longitude Automático,Jeep Compass,40.537,R$ 127.970,2019
1.6 Vti 120 Live Eat6,Citroen C4 cactus,14.926,R$ 95.470,2021
1.8 Gli Upper 16v Automático,Toyota Corolla,83.549,R$ 94.870,2018
1.4 16v Tsi Comfortline Tiptronic,Volkswagen Jetta,78.362,R$ 99.870,2018
1.6 Msi Total Connect Manual,Volkswagen Fox,62.037,R$ 60.870,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,69.538,R$ 56.870,2020
1.4 16v Turbo Premier Automático,Chevrolet Tracker,37.759,R$ 99.970,2018
1.6 16v T-gdi Gls Ecoshift,Hyundai Tucson,77.730,R$ 125.970,2018
1.8 16v Lx Automático,Honda Hr-v,53.673,R$ 89.870,2016
1.5 16v Xs Connect Multidrive,Toyota Yaris,28.027,R$ 96.870,2021
2.0 T4 Momentum Automático,Volvo S60,29.754,R$ 183.470,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,33.938,R$ 97.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,24.770,R$ 97.870,2020
1.0 Fire Attractive Manual,Fiat Uno,81.782,R$ 47.280,2020
1.4 Mpi Hard Working Ce 8v Manual,Fiat Strada,61.054,R$ 65.770,2020
1.6 Msi Total Automático,Volkswagen Polo,43.155,R$ 75.870,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,42.473,R$ 53.870,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,17.996,R$ 98.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,30.890,R$ 90.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,29.502,R$ 90.870,2020
1.0 Evo Like. Manual,Fiat Mobi,92.085,R$ 44.480,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,88.210,R$ 82.980,2020
1.6 16v Vision Manual,Hyundai Hb20s,84.669,R$ 70.480,2020
1.0 Evo Like. Manual,Fiat Mobi,69.296,R$ 46.870,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,83.514,R$ 54.080,2019
1.6 16v Allure Automático,Peugeot 2008,78.295,R$ 64.870,2017
1.5 16v Turbo Touring Automático,Honda Hr-v,36.922,R$ 149.970,2020
1.0 200 Tsi Highline Automático,Volkswagen Virtus,22.239,R$ 97.870,2020
1.6 Ex 16v Automático,Kia Soul,32.000,R$ 99.470,2019
1.5 Ti-vct Freestyle Automático,Ford Ecosport,16.430,R$ 93.570,2020
1.0 200 Tsi Highline Automático,Volkswagen Polo,91.538,R$ 83.880,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,70.415,R$ 57.970,2019
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,68.336,R$ 84.970,2020
1.6 16v Sce Intense X-tronic,Renault Sandero,60.003,R$ 70.870,2020
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,34.707,R$ 115.970,2020
1.5 Exl 16v Automático,Honda Fit,27.885,R$ 100.970,2020
1.6 16v Griffe Automático,Peugeot 2008,19.706,R$ 95.870,2020
1.6 Msi Total Xtreme Manual,Volkswagen Fox,5.960,R$ 80.570,2022
1.4 Mpfi Advantage 8v Automático,Chevrolet Onix,47.481,R$ 72.870,2019
1.5 16v Flexone Exl Cvt,Honda Wr-v,45.917,R$ 89.970,2018
1.6 Comfort Style 16v Automático,Hyundai Hb20s,85.105,R$ 65.570,2016
1.0 12v Sce Authentique Manual,Renault Logan,84.406,R$ 47.980,2020
1.0 Comfort Plus 12v Manual,Hyundai Hb20,47.801,R$ 62.870,2019
1.0 Firefly Manual,Fiat Argo,19.745,R$ 68.970,2021
2.0 16v Flexone Ex Cvt,Honda Civic,86.275,R$ 113.980,2019
1.0 Turbo Premier Automático,Chevrolet Onix,15.836,R$ 93.070,2020
1.6 16v Griffe Automático,Peugeot 2008,14.300,R$ 97.970,2020
1.8 16v Longitude Automático,Jeep Renegade,51.124,R$ 90.770,2019
2.0 16v Limited Automático,Jeep Compass,92.156,R$ 114.970,2017
1.6 Msi Total Manual,Volkswagen Polo,44.114,R$ 72.870,2019
2.0 Cgi Avantgarde 16v Automático,Mercedes-benz C 200,75.066,R$ 135.870,2015
1.4 Tsi 16v Turbo Tiptronic,Volkswagen Tiguan,63.828,R$ 107.770,2017
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,74.330,R$ 51.870,2018
1.4 Tsi Highline 16v Total Tiptronic,Volkswagen Golf,77.015,R$ 118.970,2017
1.0 Firefly Drive Manual,Fiat Argo,43.529,R$ 59.870,2019
1.8 Activ7 8v Automático,Chevrolet Spin,95.469,R$ 81.380,2019
1.5 Dx 16v Automático,Honda City,67.997,R$ 75.970,2017
2.0 16v Flexone Exl Cvt,Honda Civic,49.009,R$ 124.970,2019
2.0 16v Turbo Lt Automático,Chevrolet Equinox,48.357,R$ 129.870,2018
1.0 Fire Attractive Manual,Fiat Uno,58.748,R$ 47.870,2020
1.6 Sx 16v Automático,Kia Cerato,40.160,R$ 86.970,2019
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,59.006,R$ 99.770,2019
2.0 Lx 4x2 16v Manual,Kia Sportage,71.413,R$ 74.470,2013
1.5 Tivct Se Automático,Ford Ecosport,59.063,R$ 77.670,2018
1.0 Fire Attractive Manual,Fiat Uno,44.360,R$ 49.870,2020
2.0 16v Longitude Automático,Jeep Compass,72.622,R$ 118.870,2018
2.0 Xei 16v Automático,Toyota Corolla,46.036,R$ 107.970,2018
2.0 Vvt-ie Altis Direct Shift,Toyota Corolla,42.936,R$ 145.880,2020
1.5 16v Turbo Touring Automático,Honda Hr-v,9.344,R$ 154.970,2020
1.8 Lt 8v Automático,Chevrolet Spin,39.261,R$ 86.970,2020
1.5 Ex 16v Automático,Honda City,40.081,R$ 98.970,2020
1.4 Lx 16v Manual,Honda Fit,97.296,R$ 48.870,2013
1.6 16v Sce Dynamique X-tronic,Renault Duster,51.743,R$ 82.470,2020
1.8 Ltz 8v Automático,Chevrolet Spin,77.643,R$ 81.080,2019
2.0 16v Turbo Diesel Sport 4x4 Automático,Jeep Renegade,97.357,R$ 101.870,2016
1.6 Freestyle 16v Manual,Ford Ecosport,90.703,R$ 63.770,2015
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,91.567,R$ 47.980,2018
1.8 16v Evo Endurance At6,Fiat Toro,59.722,R$ 105.770,2021
1.0 Tgdi Evolution Automático,Hyundai Hb20s,66.048,R$ 81.770,2020
1.4 Mpi Attractive Weekend 8v Manual,Fiat Palio,77.642,R$ 55.670,2018
1.6 16v Style Manual,Hyundai Hb20x,53.196,R$ 69.870,2018
2.0 16v Flexone Ex Cvt,Honda Civic,51.659,R$ 126.570,2020
1.8 16v Ex Automático,Honda Hr-v,88.456,R$ 102.470,2018
2.0 16v Longitude Automático,Jeep Compass,61.235,R$ 119.970,2018
1.0 Tgdi Sport Automático,Hyundai Hb20,28.232,R$ 93.870,2021
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,9.892,R$ 111.570,2021
1.0 Tsi Move Up 12v Manual,Volkswagen Up,75.538,R$ 52.870,2016
1.0 Turbo Plus Lt Manual,Chevrolet Onix,36.398,R$ 76.970,2020
1.0 Turbo Automático,Chevrolet Onix,34.624,R$ 90.570,2020
1.0 Fire Attractive Manual,Fiat Uno,74.782,R$ 47.280,2020
1.6 Allure Thp 16v Automático,Peugeot 3008,19.951,R$ 178.970,2020
1.4 250 Tsi Total Highline Automático,Volkswagen T-cross,59.456,R$ 112.970,2020
1.4 Mpfi Lt 8v Manual,Chevrolet Prisma,52.055,R$ 68.970,2019
2.0 Se Plus 16v Powershift,Ford Focus,85.085,R$ 64.970,2016
1.3 Firefly Manual,Fiat Cronos,41.597,R$ 71.970,2020
1.3 Firefly Drive Manual,Fiat Cronos,9.370,R$ 82.970,2021
1.8 16v Sport Manual,Jeep Renegade,72.511,R$ 79.970,2018
2.0 16v Flexone Ex Cvt,Honda Civic,24.079,R$ 135.870,2021
1.8 16v Longitude Automático,Jeep Renegade,55.818,R$ 82.870,2016
1.8 E.torq Precision At6,Fiat Cronos,77.056,R$ 72.380,2019
2.0 16v Cgi 4matic 9g-tronic,Mercedes-benz Glc 250,89.203,R$ 229.870,2017
2.7 Srv 4x2 Cd 16v Automático,Toyota Hilux,43.846,R$ 159.870,2017
1.3 Firefly Trekking Manual,Fiat Argo,29.283,R$ 75.970,2020
1.5 Ti-vct Se Plus Automático,Ford Ka,26.258,R$ 69.770,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,70.455,R$ 51.870,2018
2.0 Tsi Highline 211cv Tiptronic,Volkswagen Jetta,34.384,R$ 123.970,2018
1.6 Tivct Se Manual,Ford Fiesta,34.560,R$ 57.870,2018
1.0 Spe4 Plus Manual,Chevrolet Joy,60.133,R$ 59.670,2020
1.6 Freestyle 16v Manual,Ford Ecosport,119.071,R$ 65.970,2016
1.4 Mpi Hard Working Cd 8v Manual,Fiat Strada,42.322,R$ 79.870,2020
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,50.836,R$ 56.370,2021
2.0 16v Flexone Ex Cvt,Honda Civic,70.005,R$ 108.870,2017
1.4 Tsi Variant Highline 16v Automático,Volkswagen Golf,71.847,R$ 97.970,2016
1.8 16v Evo Endurance At6,Fiat Toro,71.633,R$ 95.780,2020
1.8 16v Exl Automático,Honda Hr-v,58.508,R$ 122.870,2019
1.6 Msi Totalflex Manual,Volkswagen Voyage,41.966,R$ 61.970,2021
2.0 16v Limited Automático,Jeep Compass,38.403,R$ 129.870,2018
2.0 Mivec Hpe Cvt,Mitsubishi Asx,30.344,R$ 122.970,2020
1.6 Msi Total Manual,Volkswagen Virtus,132.047,R$ 65.980,2019
1.6 16v Style Manual,Hyundai Hb20x,20.678,R$ 71.670,2018
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,41.797,R$ 115.970,2020
1.5 Exl 16v Automático,Honda City,5.626,R$ 111.970,2021
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,88.345,R$ 88.970,2018
1.8 Essence 16v Automático,Fiat Bravo,90.499,R$ 43.970,2013
1.0 Comfort 12v Manual,Hyundai Hb20,86.535,R$ 52.970,2017
2.0 Tfsi Attraction S Tronic,Audi A4,77.455,R$ 127.980,2018
1.5 Ti-vct Se Plus Manual,Ford Ka,55.716,R$ 63.970,2019
1.5 16v Flexone Ex Cvt,Honda Wr-v,52.629,R$ 95.870,2019
1.5 Ex 16v Automático,Honda Fit,37.759,R$ 90.970,2019
1.4 Evo Sporting 8v Automatizado,Fiat Uno,77.874,R$ 49.970,2016
2.0 16v Longitude Automático,Jeep Compass,78.975,R$ 118.870,2018
1.0 Tsi 12v Manual,Volkswagen Cross up,74.416,R$ 67.870,2018
3.0 V6 24v Turbo Automático,Bmw M 135i,78.453,R$ 193.880,2015
2.0 16v Hi-flex Intense Automático,Renault Captur,37.877,R$ 95.470,2021
1.8 Tfsi Sportback 16v Automático,Audi A3,90.590,R$ 103.270,2015
2.0 Ex 4x2 16v Automático,Kia Sportage,25.981,R$ 147.870,2019
2.0 Tfsi Attraction S Tronic,Audi A4,56.193,R$ 126.870,2017
2.0 16v Flexone Ex Cvt,Honda Civic,43.613,R$ 122.970,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20,54.761,R$ 56.870,2016
2.0 16v Turbo Activeflex Xdrive25i Sport Automático,Bmw X1,81.349,R$ 169.770,2017
1.0 Ti-vct Se Manual,Ford Ka,17.891,R$ 56.970,2020
1.4 Mpi Hard Working Cd 8v Manual,Fiat Strada,28.773,R$ 81.870,2020
1.6 16v Flexstart Sl Xtronic,Nissan Kicks,81.205,R$ 93.980,2019
2.0 16v Hi-flex Intense Automático,Renault Captur,25.748,R$ 96.270,2021
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,52.266,R$ 56.370,2021
1.8 16v Evo Endurance At6,Fiat Toro,33.634,R$ 107.970,2021
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,34.702,R$ 110.970,2020
2.0 Titanium Awd 16v Automático,Ford Fusion,116.554,R$ 111.980,2018
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,4.135,R$ 142.270,2022
1.0 Turbo Plus Ltz Automático,Chevrolet Onix,47.834,R$ 84.870,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,17.913,R$ 87.970,2020
1.6 16v Allure Pack Automático,Peugeot 2008,50.437,R$ 79.870,2020
1.0 12v Sense Manual,Hyundai Hb20,49.251,R$ 63.970,2021
1.0 Turbo Premier Automático,Chevrolet Onix,21.155,R$ 95.970,2021
1.8 Gli 16v Automático,Toyota Corolla,43.282,R$ 89.870,2017
1.8 Gli 16v Automático,Toyota Corolla,44.946,R$ 89.870,2017
1.8 Gli 16v Automático,Toyota Corolla,61.260,R$ 89.870,2017
1.8 Gli 16v Automático,Toyota Corolla,59.110,R$ 89.870,2017
1.8 Gli 16v Automático,Toyota Corolla,49.811,R$ 89.870,2017
1.8 Gli 16v Automático,Toyota Corolla,40.769,R$ 89.870,2017
1.4 250 Tsi Total Comfortline Tiptronic,Volkswagen Jetta,58.010,R$ 114.970,2019
2.0 16v Limited Automático,Jeep Compass,71.377,R$ 117.870,2017
1.8 Gli 16v Automático,Toyota Corolla,68.585,R$ 89.870,2017
1.4 16v Tsi Trendline Tiptronic,Volkswagen Jetta,92.629,R$ 77.770,2016
1.0 Evo Easy Manual,Fiat Mobi,1.274,R$ 57.770,2021
1.0 Turbo Premier Automático,Chevrolet Onix,8.955,R$ 92.970,2020
1.6 Msi Comfortline 16v Total Tiptronic,Volkswagen Golf,77.463,R$ 82.870,2016
1.6 Griffe 16v Automático,Peugeot 208,79.032,R$ 62.870,2017
1.6 16v Sce Zen Manual,Renault Captur,88.815,R$ 79.870,2018
1.6 Turbo Automático,Mercedes-benz B 200,97.569,R$ 75.870,2013
1.0 Evo Like. Manual,Fiat Mobi,49.565,R$ 49.470,2020
1.5 Ex 16v Automático,Honda City,57.100,R$ 94.870,2019
1.4 250 Tsi Total Allspace Comfortline Tiptronic,Volkswagen Tiguan,47.307,R$ 159.870,2019
1.0 Evo Like. Manual,Fiat Mobi,31.183,R$ 50.970,2020
1.4 Turbo Sport6 Lt 16v Automático,Chevrolet Cruze,69.688,R$ 96.970,2018
1.5 Exl 16v Automático,Honda City,60.883,R$ 95.670,2019
1.4 Mpfi Lt 8v Manual,Chevrolet Prisma,81.465,R$ 62.970,2018
1.0 12v Sce Zen Manual,Renault Kwid,56.000,R$ 47.870,2020
2.0 16v Longitude Automático,Jeep Compass,42.741,R$ 126.870,2019
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,51.927,R$ 94.970,2019
1.3 16v Xl Multidrive,Toyota Yaris,48.676,R$ 81.870,2019
2.0 Xei 16v Automático,Toyota Corolla,87.208,R$ 95.870,2017
1.0 Evo Like. Manual,Fiat Mobi,51.036,R$ 49.470,2020
2.0 Se Sedan 16v Powershift,Ford Focus,65.503,R$ 65.870,2016
1.0 Tgdi Diamond Automático,Hyundai Hb20s,32.354,R$ 89.870,2020
1.8 Gli Upper 16v Automático,Toyota Corolla,81.000,R$ 94.270,2018
1.4 Turbo Ltz 16v Automático,Chevrolet Cruze,83.792,R$ 97.870,2018
1.5 Ex 16v Automático,Honda Fit,71.665,R$ 83.870,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,31.628,R$ 90.870,2020
1.8 16v Ex Automático,Honda Hr-v,80.623,R$ 102.470,2018
1.5 Ti-vct Se Manual,Ford Ecosport,23.096,R$ 80.870,2020
1.8 16v Longitude Automático,Jeep Renegade,47.605,R$ 91.870,2019
1.4 Turbo Sport6 Ltz 16v Automático,Chevrolet Cruze,73.455,R$ 95.870,2017
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,43.703,R$ 78.970,2018
2.0 Direct Storm 4wd Automático,Ford Ecosport,49.664,R$ 89.570,2020
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,84.590,R$ 83.870,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,69.260,R$ 79.970,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,11.134,R$ 88.970,2020
1.4 Mpfi Ltz 8v Manual,Chevrolet Onix,79.440,R$ 63.770,2017
1.0 Mpi Take Up 12v Manual,Volkswagen Up,45.431,R$ 47.970,2017
1.5 Ti-vct Se Automático,Ford Ecosport,52.386,R$ 80.270,2020
1.4 16v Turbo Lt Automático,Chevrolet Tracker,109.336,R$ 81.980,2018
1.0 Comfort 12v Manual,Hyundai Hb20,63.003,R$ 53.870,2017
1.0 Turbo Lt Automático,Chevrolet Onix,35.739,R$ 83.870,2021
1.8 16v Sport Manual,Jeep Renegade,58.631,R$ 75.970,2016
1.6 Thp Shine Pack Eat6,Citroen C4 cactus,65.644,R$ 92.470,2019
2.0 4x2 16v Automático,Mitsubishi Asx,31.917,R$ 98.870,2018
1.4 Tsi Variant Comfortline 16v Total Tiptronic,Volkswagen Golf,54.119,R$ 97.970,2017
1.4 Tsi Variant Comfortline 16v Total Tiptronic,Volkswagen Golf,59.816,R$ 97.970,2017
1.0 Unique 12v Manual,Hyundai Hb20,76.663,R$ 53.280,2019
1.8 16v Longitude Automático,Jeep Renegade,52.630,R$ 90.770,2019
1.5 Tivct Se Manual,Ford Ecosport,73.532,R$ 73.870,2018
2.0 Ex 4x2 16v Automático,Kia Sportage,44.600,R$ 147.870,2019
2.0 Xei 16v Automático,Toyota Corolla,85.602,R$ 106.870,2018
1.0 Evo Attractive Manual,Fiat Grand siena,64.099,R$ 51.970,2019
2.0 16v Longitude Automático,Jeep Compass,68.838,R$ 119.970,2018
2.0 Ex 4x2 16v Automático,Kia Sportage,10.072,R$ 180.970,2020
2.0 16v Flexone Exl Cvt,Honda Civic,46.988,R$ 130.970,2020
1.8 16v Evo Endurance At6,Fiat Toro,35.901,R$ 107.970,2021
2.5 Wrx Sedan 4x4 16v Turbo Intercooler Manual,Subaru Impreza,104.896,R$ 116.880,2011
1.5 16v Flexone Exl Cvt,Honda Wr-v,69.408,R$ 89.870,2018
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,55.124,R$ 97.870,2017
1.8 Gli 16v Automático,Toyota Corolla,98.631,R$ 87.180,2018
1.0 Evo Like. Manual,Fiat Mobi,29.483,R$ 47.970,2019
1.0 Mi Bluemotion 8v Manual,Volkswagen Fox,78.119,R$ 42.970,2014
1.8 Tfsi Sportback 16v Automático,Audi A3,74.164,R$ 99.870,2014
1.8 16v Ex Automático,Honda Hr-v,102.793,R$ 90.970,2016
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,68.410,R$ 61.470,2016
1.0 200 Tsi Highline Automático,Volkswagen Polo,31.619,R$ 89.970,2019
1.8 16v Ex Automático,Honda Hr-v,61.435,R$ 115.870,2019
1.8 Gli Upper 16v Automático,Toyota Corolla,69.413,R$ 99.870,2019
1.6 Tivct Se Plus Powershift,Ford Fiesta,75.349,R$ 61.870,2018
1.6 16v Sce Expression Manual,Renault Duster,83.938,R$ 71.870,2018
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,39.974,R$ 68.870,2018
2.0 16v Turbo Activeflex Xdrive25i Sport Automático,Bmw X1,52.680,R$ 164.870,2016
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,74.134,R$ 51.870,2018
2.0 Xei 16v Automático,Toyota Corolla,74.947,R$ 87.470,2015
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,60.128,R$ 53.870,2019
1.8 16v Evo Endurance At6,Fiat Toro,80.231,R$ 95.780,2020
2.0 Tsi 16v Automático,Volkswagen Fusca,75.000,R$ 120.970,2014
2.0 Se Plus Fastback 16v Powershift,Ford Focus,70.299,R$ 76.970,2019
2.0 Se Plus Fastback 16v Powershift,Ford Focus,65.346,R$ 73.170,2019
1.8 Gli Upper 16v Automático,Toyota Corolla,76.154,R$ 94.480,2019
2.0 Tsi Gti 16v Turbo Automático,Volkswagen Golf,33.482,R$ 166.970,2017
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,61.372,R$ 58.970,2019
2.0 16v Limited Automático,Jeep Compass,82.087,R$ 119.980,2018
2.0 Ex 4x2 16v Automático,Kia Sportage,32.816,R$ 147.870,2019
1.6 16v Pulse Automático,Hyundai Creta,71.003,R$ 94.870,2018
2.0 16v Diesel Limited 4x4 Automático,Jeep Compass,30.838,R$ 189.980,2020
1.5 Ti-vct Se Automático,Ford Ka,15.990,R$ 69.570,2020
2.0 16v Flexone Ex Cvt,Honda Civic,41.117,R$ 122.970,2019
1.5 Mivec Turbo Hpe-s S-awc Cvt,Mitsubishi Eclipse cross,55.339,R$ 160.970,2020
2.0 16v Turbo Lt Automático,Chevrolet Equinox,22.615,R$ 151.670,2019
2.0 16v Tsi Bluemotion Highline Dsg,Volkswagen Passat,73.280,R$ 167.280,2019
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,106.554,R$ 45.980,2018
1.0 200 Tsi Comfortline Automático,Volkswagen Virtus,28.610,R$ 90.870,2020
1.4 Tsi Highline 16v Automático,Volkswagen Golf,110.511,R$ 83.870,2014
1.0 200 Tsi Comfortline Automático,Volkswagen Polo,19.410,R$ 85.970,2020
1.0 Turbo Plus Lt Automático,Chevrolet Onix,60.635,R$ 79.970,2020
1.5 Exl 16v Automático,Honda City,44.970,R$ 96.870,2019
2.0 Sv 16v Flexstart Automático,Nissan Sentra,42.224,R$ 97.970,2020
1.0 Mpfi Joy 8v Manual,Chevrolet Onix,41.661,R$ 54.870,2019
1.0 12v Sce Zen Manual,Renault Kwid,21.670,R$ 49.870,2020
1.0 Fire Attractive Manual,Fiat Uno,53.070,R$ 46.870,2019
1.0 Mpfi Lt 8v Manual,Chevrolet Onix,51.111,R$ 58.870,2019
1.6 16v Sce Expression Manual,Renault Duster,42.472,R$ 80.470,2020
1.6 16v Sce Intense X-tronic,Renault Captur,32.691,R$ 98.470,2021
1.0 Evo Like. Manual,Fiat Mobi,31.682,R$ 47.970,2019
1.6 Msi Robust Cs 8v Manual,Volkswagen Saveiro,46.592,R$ 62.270,2019
2.0 16v Hi-flex Dynamique Manual,Renault Duster,62.802,R$ 81.070,2019
