car_description,car_name,km_traveled,value,year
1.8 16v Longitude Automático,Jeep Renegade,49.296,R$ 82.870,2016
1.8 16v Automático,Jeep Renegade,15.901,R$ 94.570,2020
1.8 16v Ex Automático,Honda Hr-v,24.717,R$ 130.870,2021
1.4 Tfsi Sedan Ambiente 16v Tiptronic,Audi A3,78.338,R$ 117.870,2018
1.8 16v Sport Automático,Jeep Renegade,88.882,R$ 77.870,2016
1.8 Gli 16v Automático,Toyota Corolla,39.240,R$ 87.370,2016
1.6 16v Sce Iconic X-tronic,Renault Duster,27.375,R$ 102.870,2021
2.0 Vvt-ie Gli Direct Shift,Toyota Corolla,38.576,R$ 123.970,2020
2.0 16v Longitude Automático,Jeep Compass,87.944,R$ 118.870,2018
2.0 Tfsi Launch Edition S Tronic,Audi A4,61.945,R$ 143.870,2016
1.6 Se 16v Powershift,Ford Ecosport,58.410,R$ 68.870,2017
1.6 Glx 16v Manual,Citroen Aircross,79.641,R$ 40.870,2013
1.0 12v Sce Zen Manual,Renault Kwid,42.644,R$ 45.970,2018
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,58.891,R$ 90.870,2018
1.6 Msi Total Manual,Volkswagen Polo,57.639,R$ 70.970,2020
1.8 16v Longitude Automático,Jeep Renegade,59.219,R$ 83.770,2016
2.0 16v Limited Automático,Jeep Compass,60.499,R$ 128.870,2018
1.6 16v Sce Stepway Dynamique Easy-r,Renault Sandero,31.337,R$ 62.870,2019
2.0 16v Longitude Automático,Jeep Compass,78.726,R$ 114.970,2017
1.5 16v Sedan Xls Multidrive,Toyota Yaris,45.798,R$ 93.970,2019
1.3 Firefly Drive Gsr,Fiat Argo,59.000,R$ 64.870,2018
1.8 16v Sport Automático,Jeep Renegade,29.146,R$ 92.970,2019
2.0 16v Longitude Automático,Jeep Compass,69.731,R$ 114.970,2017
1.6 Expression 8v Manual,Renault Sandero,60.096,R$ 42.970,2015
1.8 16v Limited Automático,Jeep Renegade,46.808,R$ 90.970,2017
2.0 16v Longitude Automático,Jeep Compass,39.181,R$ 120.970,2018
1.6 Exclusive 16v Automático,Citroen C3,74.027,R$ 54.170,2016
1.4 Turbo Premier Automático,Chevrolet Cruze,10.034,R$ 130.970,2020
1.8 16v Ex Automático,Honda Hr-v,8.282,R$ 134.970,2021
1.5 Ti-vct Titanium Automático,Ford Ecosport,15.700,R$ 94.970,2020
1.8 16v Lx Automático,Honda Hr-v,74.521,R$ 89.870,2016
1.6 Msi Total Manual,Volkswagen Polo,67.402,R$ 67.870,2018
1.6 16v Allure Automático,Peugeot 2008,46.119,R$ 64.970,2017
1.4 Tfsi Ambiente S Tronic,Audi Q3,65.797,R$ 139.870,2018
1.8 16v 75 Anos Automático,Jeep Renegade,60.758,R$ 83.870,2016
1.6 16v Sce Iconic X-tronic,Renault Duster,33.875,R$ 102.870,2021
1.6 16v Sce Life X-tronic,Renault Captur,44.699,R$ 86.070,2019
2.0 16v Longitude Automático,Jeep Compass,73.475,R$ 120.970,2018
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,88.469,R$ 48.080,2019
2.0 16v Turbo Diesel Volcano 4wd At9,Fiat Toro,56.397,R$ 147.870,2019
2.0 16v Longitude Automático,Jeep Compass,32.016,R$ 120.970,2018
1.0 Comfort 12v Manual,Hyundai Hb20,55.214,R$ 57.770,2018
1.8 16v Limited Automático,Jeep Renegade,26.295,R$ 128.970,2021
1.5 S Hatch 16v Manual,Ford Fiesta,51.126,R$ 45.970,2015
1.6 Se Hatch 16v Powershift,Ford Fiesta,92.971,R$ 44.970,2014
1.6 16v Sce Intense X-tronic,Renault Captur,51.448,R$ 89.770,2019
2.0 16v Flexone Sport Manual,Honda Civic,23.070,R$ 111.970,2018
1.0 Turbo Plus Premier Automático,Chevrolet Onix,25.344,R$ 91.970,2020
1.3 Firefly Drive Gsr,Fiat Argo,42.318,R$ 64.870,2018
2.0 16v Flexone Ex Cvt,Honda Civic,57.728,R$ 114.870,2018
1.0 12v Mpi Totalflex Manual,Volkswagen Gol,52.802,R$ 56.370,2021
1.4 16v Turbo Lt Automático,Chevrolet Tracker,62.557,R$ 89.870,2018
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,61.018,R$ 100.870,2018
1.0 200 Tsi Total Comfortline Automático,Volkswagen T-cross,19.032,R$ 124.570,2021
1.4 Mpfi Lt 8v Manual,Chevrolet Onix,50.023,R$ 61.870,2019
1.6 Comfort Plus 16v Manual,Hyundai Hb20s,110.471,R$ 59.870,2016
2.0 16v Longitude Automático,Jeep Compass,16.716,R$ 129.270,2019
1.8 16v Limited Automático,Jeep Renegade,23.907,R$ 109.970,2019
2.0 16v Sport Automático,Jeep Compass,17.030,R$ 137.770,2021
1.4 Mpfi Activ 8v Automático,Chevrolet Onix,42.116,R$ 73.970,2018
2.0 Mpfi Gl 16v Automático,Hyundai Ix35,44.139,R$ 107.870,2019
1.6 16v Flexstart Sv Xtronic,Nissan Kicks,52.055,R$ 90.870,2018
1.6 16v Premium Automático,Hyundai Hb20x,82.468,R$ 69.970,2016
1.8 16v Sport Automático,Jeep Renegade,44.926,R$ 78.870,2016
1.4 Cabrio 8v Automatizado,Fiat 500,54.716,R$ 74.770,2015
2.0 16v Hi-flex Intense Automático,Renault Captur,51.989,R$ 88.970,2019
1.5 Mpfi 16v Look Manual,Chery Tiggo 2,18.898,R$ 74.870,2020
1.6 Thp Shine Pack Eat6,Citroen C4 cactus,54.082,R$ 95.070,2019
1.5 Mpfi 16v Act Automático,Chery Tiggo 2,28.962,R$ 82.870,2020
1.6 Sport Turbo Automático,Mercedes-benz B 200,102.043,R$ 81.470,2014
1.6 Msi Comfortline 8v Manual,Volkswagen Fox,51.670,R$ 57.270,2018
1.6 Cgi 7g-dct,Mercedes-benz Cla 180,31.911,R$ 162.870,2019
1.8 16v Sport Manual,Jeep Renegade,37.406,R$ 85.970,2018
1.0 12v Sce Outsider Manual,Renault Kwid,20.071,R$ 54.870,2020
1.4 16v Turbo Ltz Automático,Chevrolet Tracker,34.199,R$ 97.970,2017
1.6 16v Sce Intense X-tronic,Renault Captur,55.222,R$ 89.770,2019
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,80.062,R$ 63.880,2019
2.0 16v Flexone Ex Cvt,Honda Civic,54.718,R$ 108.870,2017
2.0 Tfsi Launch Edition S Tronic,Audi A4,60.635,R$ 143.870,2016
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,75.368,R$ 89.870,2017
1.0 200 Tsi Highline Automático,Volkswagen Polo,52.584,R$ 89.870,2019
1.5 Lx 16v Automático,Honda City,85.464,R$ 81.870,2018
1.0 Se 12v Manual,Ford Ka,50.184,R$ 46.870,2017
1.4 Tsi Variant Comfortline 16v Automático,Volkswagen Golf,62.444,R$ 90.970,2016
1.8 Mpfi Ltz 8v Manual,Chevrolet Cobalt,77.804,R$ 64.970,2018
1.6 Msi Total Xtreme Manual,Volkswagen Fox,25.133,R$ 67.870,2019
1.4 Turbo Lt 16v Automático,Chevrolet Cruze,58.229,R$ 107.670,2020
1.5 16v Sedan Xs Multidrive,Toyota Yaris,40.715,R$ 86.970,2019
1.0 Firefly Manual,Fiat Argo,53.511,R$ 58.870,2019
1.4 Turbo Sport6 Ltz 16v Automático,Chevrolet Cruze,39.766,R$ 96.470,2017
1.0 Comfort Plus 12v Manual,Hyundai Hb20s,22.942,R$ 69.370,2019
1.4 16v Turbo Premier Automático,Chevrolet Tracker,37.995,R$ 98.870,2018
